age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
31,management,single,tertiary,no,86200,yes,no,telephone,29,jan,3.0,2,254,1,failure,no
31,admin.,single,tertiary,no,33800,yes,no,cellular,22,apr,2.6,2,343,2,other,yes
37,technician,single,tertiary,no,256100,yes,no,unknown,20,may,7.1,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,153950,no,no,cellular,5,apr,13.2,1,-1,0,unknown,no
55,unknown,married,tertiary,no,0,no,no,unknown,5,jun,1.1,1,-1,0,unknown,no
61,retired,married,secondary,no,140050,yes,yes,cellular,10,mar,4.5,1,-1,0,unknown,yes
34,management,married,tertiary,no,41700,no,no,cellular,7,aug,3.5,2,-1,0,unknown,no
60,retired,divorced,tertiary,no,21950,no,yes,cellular,25,may,8.2,1,321,1,failure,yes
32,services,single,secondary,no,7950,yes,yes,cellular,14,may,1.3,1,-1,0,unknown,no
46,blue-collar,divorced,primary,no,28550,yes,yes,unknown,29,may,2.1,1,-1,0,unknown,no
26,blue-collar,single,primary,no,2600,yes,no,cellular,20,apr,5.0,1,300,2,success,no
33,management,married,tertiary,no,90400,yes,no,unknown,4,jun,2.2,4,-1,0,unknown,no
36,self-employed,married,secondary,no,62250,yes,no,unknown,6,jun,25.0,9,-1,0,unknown,yes
52,admin.,married,secondary,no,-36600,yes,yes,unknown,28,may,1.5,2,-1,0,unknown,no
31,admin.,single,secondary,no,103800,no,yes,cellular,18,nov,3.5,1,127,7,other,no
25,blue-collar,single,primary,no,-11050,yes,no,unknown,23,may,4.7,1,-1,0,unknown,no
31,technician,married,tertiary,no,8250,no,no,cellular,15,may,4.1,4,-1,0,unknown,no
34,services,married,secondary,no,-3400,yes,no,unknown,9,may,2.5,1,-1,0,unknown,no
47,blue-collar,married,primary,no,48050,no,no,cellular,29,aug,1.3,11,-1,0,unknown,no
25,student,single,unknown,no,4600,no,no,cellular,27,may,5.5,1,-1,0,unknown,no
35,admin.,single,tertiary,no,49700,no,no,cellular,30,apr,7.2,1,87,2,failure,yes
35,blue-collar,married,secondary,no,-9200,yes,no,telephone,12,may,3.1,2,-1,0,unknown,no
38,student,single,unknown,no,36100,no,no,unknown,18,jun,1.6,1,-1,0,unknown,no
38,entrepreneur,divorced,tertiary,no,396450,no,no,cellular,8,jul,3.5,3,-1,0,unknown,no
37,technician,married,secondary,no,6150,yes,yes,unknown,6,may,9.3,2,-1,0,unknown,no
52,management,married,tertiary,no,175400,no,no,cellular,12,aug,4.7,2,-1,0,unknown,no
41,unemployed,married,primary,no,9150,yes,no,cellular,29,jul,5.0,1,-1,0,unknown,no
42,management,single,tertiary,no,101600,yes,no,cellular,24,jul,20.1,4,-1,0,unknown,no
34,management,married,tertiary,no,71650,no,no,cellular,20,nov,2.4,3,104,3,failure,no
33,unemployed,single,tertiary,no,42500,no,no,cellular,4,may,5.9,3,-1,0,unknown,no
45,services,married,secondary,no,319850,yes,no,unknown,5,jun,2.5,2,-1,0,unknown,no
54,admin.,divorced,secondary,no,90700,no,no,unknown,13,may,9.2,1,-1,0,unknown,no
39,housemaid,married,primary,no,0,yes,no,telephone,16,jul,2.7,6,-1,0,unknown,no
30,services,married,secondary,no,0,yes,no,unknown,9,may,0.8,1,-1,0,unknown,no
30,management,single,tertiary,no,9400,no,no,cellular,28,jan,1.6,1,-1,0,unknown,no
40,admin.,married,secondary,no,27000,yes,no,cellular,10,jul,4.1,1,-1,0,unknown,no
56,retired,divorced,tertiary,no,7900,no,yes,cellular,21,jul,14.7,1,-1,0,unknown,yes
41,blue-collar,married,primary,no,19450,yes,no,unknown,16,jun,2.0,6,-1,0,unknown,no
55,blue-collar,married,secondary,no,66400,yes,no,unknown,15,may,2.2,1,-1,0,unknown,no
44,technician,single,primary,no,7400,no,no,unknown,19,jun,5.7,2,-1,0,unknown,no
55,housemaid,married,secondary,no,8350,yes,no,cellular,12,may,3.5,3,357,7,failure,no
33,management,married,tertiary,no,69400,yes,no,cellular,10,nov,5.2,1,89,2,failure,no
27,student,single,secondary,no,13950,no,no,cellular,12,oct,5.9,1,-1,0,unknown,yes
36,blue-collar,divorced,secondary,no,-26150,yes,yes,cellular,11,may,3.7,1,333,17,other,no
35,management,married,tertiary,no,140050,yes,no,cellular,19,nov,1.7,2,111,2,failure,no
33,unemployed,single,secondary,no,8850,no,no,unknown,8,may,1.8,4,-1,0,unknown,no
25,services,single,secondary,no,0,yes,no,cellular,6,may,5.4,3,-1,0,unknown,no
39,admin.,married,secondary,no,480900,yes,no,cellular,13,may,2.1,2,338,1,failure,no
30,entrepreneur,married,tertiary,no,1150,yes,yes,cellular,19,nov,6.8,1,-1,0,unknown,no
46,blue-collar,married,primary,no,17300,yes,no,unknown,15,may,7.2,1,-1,0,unknown,no
34,management,married,tertiary,no,20750,no,yes,cellular,23,jul,6.5,2,-1,0,unknown,no
30,technician,married,secondary,no,-7300,yes,yes,cellular,18,may,3.3,1,-1,0,unknown,no
45,management,married,tertiary,no,-3050,no,no,cellular,30,jan,2.0,5,172,1,failure,no
41,management,single,tertiary,no,800,no,no,unknown,23,may,2.1,1,-1,0,unknown,no
35,services,married,unknown,no,96750,yes,no,cellular,17,apr,2.1,2,318,2,other,no
38,self-employed,married,tertiary,no,104200,yes,no,cellular,16,apr,1.7,2,330,2,failure,no
37,management,married,tertiary,no,2850,no,no,cellular,5,feb,6.3,1,-1,0,unknown,yes
39,admin.,married,secondary,no,129900,no,no,cellular,17,nov,2.6,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,-16800,yes,no,cellular,13,may,5.8,3,303,2,failure,no
43,blue-collar,married,secondary,no,26800,no,no,telephone,28,jul,3.6,12,-1,0,unknown,no
39,admin.,married,secondary,no,94550,no,no,unknown,17,jun,3.0,1,-1,0,unknown,no
26,blue-collar,married,secondary,no,289750,yes,no,cellular,14,may,18.7,2,-1,0,unknown,yes
51,retired,married,tertiary,no,37300,no,no,cellular,25,aug,6.7,5,-1,0,unknown,yes
37,management,married,tertiary,no,0,yes,no,telephone,28,jul,1.5,8,-1,0,unknown,no
39,services,divorced,secondary,no,44600,yes,no,cellular,20,nov,1.1,1,171,1,failure,no
40,management,married,secondary,no,4950,no,no,cellular,9,feb,0.8,5,-1,0,unknown,no
40,blue-collar,married,secondary,no,0,no,no,cellular,25,jul,2.1,2,-1,0,unknown,no
41,technician,married,tertiary,no,29250,yes,no,telephone,20,apr,1.5,1,-1,0,unknown,no
39,blue-collar,married,primary,no,23800,yes,no,cellular,12,may,4.0,1,349,4,failure,no
40,management,single,tertiary,no,193850,yes,no,unknown,6,may,2.9,1,-1,0,unknown,no
40,management,married,tertiary,no,28600,no,no,cellular,2,feb,2.7,3,5,2,other,no
44,management,divorced,tertiary,no,0,yes,no,telephone,7,may,2.9,4,-1,0,unknown,no
27,technician,married,tertiary,no,522550,yes,no,cellular,2,feb,1.3,1,-1,0,unknown,no
34,management,married,tertiary,no,26000,yes,no,cellular,12,aug,22.3,4,-1,0,unknown,yes
55,technician,married,secondary,no,96900,no,yes,cellular,18,aug,3.7,1,386,3,success,yes
45,unemployed,single,primary,no,112450,yes,no,cellular,9,feb,4.6,5,-1,0,unknown,no
35,management,married,tertiary,no,135850,no,no,cellular,13,aug,7.1,6,-1,0,unknown,yes
54,technician,single,secondary,no,9900,yes,yes,cellular,17,nov,2.5,1,171,2,failure,no
36,blue-collar,married,primary,no,406750,yes,no,unknown,20,may,9.2,1,-1,0,unknown,no
26,admin.,single,secondary,no,2600,no,no,cellular,28,jan,5.3,1,-1,0,unknown,no
49,admin.,married,secondary,no,45450,yes,no,cellular,9,apr,12.7,1,-1,0,unknown,no
35,blue-collar,married,primary,no,114050,yes,no,cellular,18,may,2.6,2,362,1,other,no
29,blue-collar,single,secondary,no,12200,yes,no,cellular,15,may,0.8,2,-1,0,unknown,no
52,management,married,tertiary,no,1177600,yes,no,cellular,12,may,9.0,1,-1,0,unknown,no
32,self-employed,single,secondary,no,200,yes,no,unknown,23,may,4.4,2,-1,0,unknown,no
45,blue-collar,married,primary,no,0,no,yes,unknown,20,jun,1.7,2,-1,0,unknown,no
47,blue-collar,married,primary,no,7300,yes,yes,unknown,19,may,1.4,5,-1,0,unknown,no
63,retired,married,secondary,no,35400,no,no,cellular,17,nov,3.3,2,-1,0,unknown,no
41,services,married,secondary,no,334350,yes,no,cellular,21,nov,1.2,2,123,3,failure,no
32,management,single,tertiary,no,2300,no,no,cellular,21,aug,13.6,6,-1,0,unknown,yes
57,services,married,secondary,no,26500,yes,no,telephone,15,may,0.7,7,360,7,failure,no
33,technician,divorced,unknown,no,63950,yes,no,cellular,29,jan,2.6,1,206,7,other,no
42,management,single,tertiary,no,60300,no,no,unknown,9,jun,2.8,4,-1,0,unknown,no
43,services,married,secondary,no,165250,yes,no,cellular,17,nov,7.0,1,-1,0,unknown,no
51,admin.,married,secondary,no,60800,no,no,cellular,25,nov,7.5,1,-1,0,unknown,no
38,technician,married,secondary,no,50800,yes,yes,cellular,6,may,1.7,2,167,4,failure,no
38,admin.,married,secondary,no,127450,no,no,cellular,3,mar,2.2,1,-1,0,unknown,no
24,services,married,secondary,no,31000,yes,no,unknown,8,may,2.9,1,-1,0,unknown,no
26,technician,single,secondary,no,242950,no,no,cellular,19,oct,2.0,2,92,3,other,no
48,admin.,single,secondary,no,0,yes,yes,cellular,8,jul,1.7,1,-1,0,unknown,no
32,unemployed,single,secondary,no,8850,yes,no,unknown,8,may,0.9,3,-1,0,unknown,no
48,management,married,tertiary,no,240150,no,no,telephone,4,feb,7.4,6,-1,0,unknown,no
30,services,single,secondary,no,91200,yes,no,cellular,21,jul,3.1,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,4.5,1,-1,0,unknown,no
39,technician,married,tertiary,no,6150,yes,no,unknown,30,may,2.6,1,-1,0,unknown,no
41,self-employed,married,tertiary,no,-16300,yes,yes,unknown,23,may,1.9,2,-1,0,unknown,no
34,technician,married,tertiary,no,103450,no,no,cellular,20,aug,6.0,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,16250,no,no,unknown,12,may,10.4,2,-1,0,unknown,no
39,services,single,secondary,no,52400,yes,no,cellular,14,may,3.0,1,-1,0,unknown,no
34,admin.,single,secondary,no,46700,no,no,cellular,18,jul,15.7,3,-1,0,unknown,no
44,unemployed,single,primary,yes,-200,no,yes,cellular,30,jul,13.6,2,-1,0,unknown,yes
26,entrepreneur,married,tertiary,no,1900,yes,no,cellular,12,may,2.5,1,294,5,failure,no
43,blue-collar,married,primary,no,0,yes,no,unknown,12,may,0.6,1,-1,0,unknown,no
45,services,single,primary,no,94650,yes,no,unknown,3,jun,21.5,6,-1,0,unknown,yes
34,technician,married,tertiary,no,46600,yes,no,cellular,4,jun,4.1,1,-1,0,unknown,no
36,unemployed,single,secondary,no,5750,no,no,cellular,9,feb,1.7,2,-1,0,unknown,no
56,retired,married,secondary,no,24400,no,no,telephone,6,feb,2.9,4,-1,0,unknown,no
41,technician,married,secondary,no,59500,no,no,cellular,25,aug,1.7,4,-1,0,unknown,no
26,admin.,single,secondary,no,29300,yes,yes,unknown,12,may,4.1,1,-1,0,unknown,no
33,admin.,single,secondary,no,16100,yes,no,unknown,28,may,4.9,4,-1,0,unknown,no
49,housemaid,married,secondary,no,45250,no,no,cellular,25,aug,2.2,4,-1,0,unknown,no
27,management,single,tertiary,no,1029250,no,no,cellular,23,sep,5.5,1,100,1,success,yes
55,admin.,married,secondary,no,451950,yes,no,unknown,15,may,3.6,6,-1,0,unknown,no
49,entrepreneur,married,secondary,no,17400,no,no,cellular,11,aug,2.3,2,-1,0,unknown,no
31,admin.,divorced,tertiary,no,7300,yes,no,unknown,16,may,5.5,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,0,yes,no,cellular,21,jul,2.0,1,-1,0,unknown,no
50,housemaid,married,primary,no,200,no,no,unknown,16,jun,1.4,1,-1,0,unknown,no
58,housemaid,married,primary,no,197850,no,no,unknown,17,jun,1.8,4,-1,0,unknown,no
36,technician,divorced,secondary,no,157900,yes,no,cellular,3,jun,2.9,2,-1,0,unknown,yes
33,blue-collar,married,secondary,no,0,yes,no,unknown,29,jul,6.0,1,-1,0,unknown,no
39,management,married,tertiary,no,140500,no,no,unknown,9,jun,1.8,1,-1,0,unknown,no
32,management,single,tertiary,no,213100,yes,no,cellular,19,nov,6.5,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,26000,yes,no,unknown,23,may,2.3,2,-1,0,unknown,no
29,management,single,unknown,no,34900,no,no,cellular,8,feb,3.6,1,-1,0,unknown,no
53,technician,married,secondary,no,0,no,no,cellular,22,aug,1.8,9,-1,0,unknown,no
33,technician,married,tertiary,no,401150,no,no,cellular,30,nov,2.3,1,105,3,failure,no
38,admin.,divorced,secondary,no,7800,yes,no,unknown,17,jun,9.6,3,-1,0,unknown,no
26,student,single,secondary,no,34800,no,no,unknown,24,jun,0.9,1,-1,0,unknown,no
40,entrepreneur,divorced,tertiary,no,49600,yes,no,cellular,31,jul,3.8,2,-1,0,unknown,no
33,admin.,single,secondary,no,14250,yes,no,cellular,1,apr,7.6,1,329,1,other,no
55,management,married,tertiary,no,338500,no,no,cellular,27,apr,3.3,1,-1,0,unknown,no
35,admin.,married,secondary,no,111900,yes,no,unknown,23,may,1.2,3,-1,0,unknown,no
49,services,married,secondary,no,-5300,no,yes,unknown,20,jun,0.7,13,-1,0,unknown,no
24,student,single,unknown,no,39100,no,no,cellular,4,may,0.7,7,91,1,other,no
46,admin.,married,secondary,no,6300,no,no,unknown,18,jun,21.4,1,-1,0,unknown,yes
36,unemployed,married,secondary,no,26650,yes,no,cellular,2,feb,10.8,1,272,1,failure,no
42,self-employed,married,secondary,no,60800,yes,no,cellular,23,apr,5.4,1,521,1,failure,yes
41,services,single,secondary,no,-13900,yes,no,cellular,7,may,0.8,5,360,3,failure,no
40,technician,married,tertiary,no,10300,no,no,cellular,23,apr,8.8,6,185,4,success,yes
34,management,single,unknown,no,76700,yes,no,cellular,16,apr,3.1,1,147,7,other,no
41,technician,married,secondary,no,49700,no,no,cellular,22,aug,2.5,4,-1,0,unknown,no
40,technician,married,secondary,no,14300,no,no,cellular,30,jul,2.3,4,-1,0,unknown,no
41,services,married,secondary,no,104250,yes,no,unknown,26,may,2.6,4,-1,0,unknown,no
30,blue-collar,married,primary,no,29850,yes,no,unknown,23,may,3.7,1,-1,0,unknown,no
26,management,single,tertiary,no,40000,yes,no,cellular,30,jan,7.3,2,-1,0,unknown,no
47,management,married,tertiary,no,94200,yes,yes,cellular,19,aug,1.7,2,-1,0,unknown,no
34,management,married,tertiary,no,26000,yes,no,cellular,17,apr,7.2,1,248,4,success,no
57,blue-collar,married,secondary,no,92950,yes,no,cellular,27,aug,1.7,5,-1,0,unknown,no
63,housemaid,married,secondary,no,100,no,no,cellular,4,feb,1.3,2,93,1,success,no
39,housemaid,married,tertiary,no,12000,yes,no,unknown,16,jun,0.8,25,-1,0,unknown,no
39,unknown,married,primary,no,349950,no,no,cellular,6,aug,2.4,2,-1,0,unknown,no
34,unknown,married,unknown,no,226750,no,no,cellular,6,aug,1.4,3,-1,0,unknown,no
47,management,married,secondary,no,0,yes,yes,cellular,17,nov,2.6,2,-1,0,unknown,no
31,admin.,single,secondary,no,-22450,yes,no,unknown,28,may,1.9,2,-1,0,unknown,no
36,management,single,tertiary,no,66950,yes,no,cellular,11,jul,2.8,1,-1,0,unknown,no
53,technician,married,secondary,no,4350,yes,no,unknown,27,may,3.6,9,-1,0,unknown,no
54,admin.,married,secondary,no,47800,yes,yes,telephone,11,may,2.8,2,362,1,other,no
46,blue-collar,married,secondary,no,202200,no,no,cellular,7,jul,5.9,3,-1,0,unknown,no
39,blue-collar,single,tertiary,no,2400,no,no,cellular,3,jun,9.5,1,-1,0,unknown,yes
54,admin.,married,secondary,no,0,no,no,cellular,28,jan,3.2,1,98,2,failure,yes
27,technician,single,secondary,no,400,yes,no,unknown,20,may,13.5,3,-1,0,unknown,no
55,services,married,secondary,no,0,no,no,cellular,22,oct,2.2,1,106,1,failure,no
44,blue-collar,married,primary,no,0,yes,no,unknown,14,may,4.2,7,-1,0,unknown,no
39,management,single,tertiary,no,20800,no,no,cellular,23,oct,1.4,4,-1,0,unknown,no
31,admin.,single,secondary,no,20500,no,no,cellular,25,oct,3.5,1,185,1,success,yes
30,technician,single,tertiary,no,139200,no,no,cellular,20,nov,14.0,3,-1,0,unknown,no
35,blue-collar,single,secondary,no,0,yes,no,cellular,11,may,6.7,1,305,1,failure,no
53,entrepreneur,married,tertiary,no,2450,no,yes,cellular,23,jul,7.5,5,-1,0,unknown,no
38,unemployed,married,primary,no,57350,yes,yes,unknown,8,may,4.7,5,-1,0,unknown,no
60,housemaid,divorced,tertiary,no,33100,no,no,unknown,20,jun,4.5,4,-1,0,unknown,no
32,technician,single,secondary,no,0,no,no,cellular,3,feb,7.9,1,-1,0,unknown,no
36,management,married,tertiary,no,52050,yes,no,cellular,14,may,8.5,2,-1,0,unknown,no
59,blue-collar,divorced,secondary,no,178650,no,no,cellular,15,may,1.2,1,-1,0,unknown,no
30,management,married,tertiary,no,0,no,no,cellular,19,aug,3.5,2,-1,0,unknown,no
31,self-employed,married,tertiary,no,11450,no,no,cellular,29,jan,3.6,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,-22300,no,no,unknown,3,jun,3.5,1,-1,0,unknown,no
33,management,single,tertiary,no,425700,no,no,cellular,20,aug,2.7,1,-1,0,unknown,no
45,services,married,secondary,no,34600,yes,no,unknown,28,may,8.9,2,-1,0,unknown,no
42,management,married,tertiary,no,66150,yes,yes,unknown,15,may,3.7,5,-1,0,unknown,no
33,management,married,secondary,no,0,yes,no,cellular,17,nov,7.3,1,-1,0,unknown,no
59,admin.,divorced,secondary,no,8700,yes,no,unknown,16,may,3.9,1,-1,0,unknown,no
30,self-employed,single,secondary,no,51550,no,no,unknown,20,oct,0.6,1,-1,0,unknown,no
31,self-employed,married,secondary,no,14800,yes,yes,cellular,24,jul,3.4,1,-1,0,unknown,no
30,technician,single,secondary,no,12450,no,no,cellular,12,may,7.3,1,-1,0,unknown,no
27,blue-collar,married,secondary,no,12250,yes,no,cellular,5,feb,0.6,7,255,11,failure,no
19,student,single,unknown,no,268400,no,no,cellular,4,may,1.8,6,-1,0,unknown,no
45,blue-collar,married,primary,no,97550,no,no,cellular,12,aug,1.7,2,-1,0,unknown,no
31,entrepreneur,married,tertiary,no,3950,yes,no,unknown,18,oct,9.8,1,-1,0,unknown,no
29,entrepreneur,married,secondary,no,46300,yes,no,cellular,15,jul,3.3,2,-1,0,unknown,no
34,management,single,tertiary,no,52000,yes,no,unknown,20,may,2.1,2,-1,0,unknown,no
27,blue-collar,married,primary,no,20800,yes,no,unknown,30,may,20.4,2,-1,0,unknown,yes
69,technician,married,tertiary,no,24100,no,no,cellular,29,jul,8.5,1,267,1,failure,yes
45,blue-collar,married,secondary,no,9800,yes,no,cellular,2,feb,2.0,1,-1,0,unknown,no
33,unemployed,single,secondary,no,0,yes,yes,cellular,25,aug,3.2,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,9000,no,no,cellular,14,jul,3.9,1,183,2,failure,no
58,entrepreneur,married,tertiary,no,42650,no,no,unknown,5,jun,19.7,2,-1,0,unknown,yes
27,services,single,secondary,no,17150,yes,no,cellular,20,apr,5.2,2,320,1,other,no
19,student,single,primary,no,12250,no,no,telephone,10,nov,2.1,2,110,2,other,no
43,entrepreneur,single,tertiary,no,37200,no,yes,cellular,29,jul,10.8,4,-1,0,unknown,no
36,technician,married,secondary,no,9800,yes,no,cellular,20,aug,12.0,2,-1,0,unknown,no
59,management,married,tertiary,no,265700,no,no,cellular,20,nov,2.4,2,-1,0,unknown,no
33,blue-collar,single,secondary,no,2800,yes,no,unknown,8,may,2.4,2,-1,0,unknown,no
33,services,single,unknown,no,114850,no,no,cellular,27,jul,9.3,1,-1,0,unknown,yes
26,services,single,tertiary,no,140150,no,no,cellular,3,feb,0.7,7,-1,0,unknown,no
54,blue-collar,married,secondary,no,49150,no,no,cellular,25,aug,1.4,6,-1,0,unknown,no
41,management,single,tertiary,no,28600,yes,no,unknown,8,may,0.6,2,-1,0,unknown,no
41,technician,single,secondary,no,6700,no,yes,cellular,11,aug,3.1,4,-1,0,unknown,no
45,admin.,married,primary,no,-20350,yes,yes,cellular,29,jan,8.9,2,224,18,other,no
51,blue-collar,married,secondary,no,1300,yes,no,unknown,5,may,1.8,1,-1,0,unknown,no
49,management,married,tertiary,no,50,no,no,telephone,13,aug,11.2,2,101,4,success,yes
43,entrepreneur,married,primary,no,115750,yes,yes,cellular,14,may,1.2,1,-1,0,unknown,no
46,management,married,primary,no,-13400,yes,no,unknown,27,may,2.2,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,31250,yes,no,unknown,30,sep,3.4,1,-1,0,unknown,no
36,blue-collar,single,secondary,no,111750,yes,no,cellular,20,nov,5.3,2,-1,0,unknown,no
30,services,married,secondary,no,10400,no,yes,cellular,28,jul,4.1,3,-1,0,unknown,no
30,technician,single,secondary,no,14050,no,no,cellular,12,aug,2.3,2,-1,0,unknown,no
40,management,married,tertiary,no,0,no,no,cellular,10,nov,3.0,1,96,8,success,yes
72,retired,divorced,tertiary,no,20100,no,no,cellular,12,jul,3.7,3,-1,0,unknown,no
30,management,single,tertiary,no,145350,yes,no,cellular,30,dec,2.9,2,218,1,failure,no
30,management,single,tertiary,no,40600,no,no,cellular,12,aug,2.0,4,-1,0,unknown,no
27,student,single,secondary,no,808650,yes,no,unknown,28,may,8.7,1,-1,0,unknown,no
30,management,married,tertiary,no,207250,yes,yes,cellular,18,jul,5.5,1,-1,0,unknown,no
48,technician,divorced,secondary,no,-3150,no,yes,unknown,15,may,0.6,1,670,5,other,no
52,blue-collar,married,primary,no,148850,no,no,cellular,18,aug,5.3,5,-1,0,unknown,no
33,blue-collar,married,primary,no,3100,yes,no,telephone,11,may,0.9,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,72450,yes,no,cellular,19,nov,1.6,1,-1,0,unknown,no
45,management,single,primary,no,35350,yes,no,cellular,29,jan,1.8,1,-1,0,unknown,no
41,blue-collar,married,primary,no,850,no,no,cellular,8,jul,2.5,3,-1,0,unknown,no
71,retired,divorced,secondary,no,279200,no,no,cellular,21,aug,9.4,3,-1,0,unknown,yes
23,unemployed,single,secondary,no,-25150,yes,no,cellular,5,may,2.0,1,342,4,other,no
27,admin.,single,secondary,no,-8600,no,yes,cellular,9,feb,2.6,5,-1,0,unknown,no
34,management,married,secondary,no,42850,yes,no,cellular,22,aug,4.5,6,-1,0,unknown,no
30,admin.,single,secondary,no,11100,yes,no,cellular,7,may,8.1,1,-1,0,unknown,no
38,services,married,secondary,no,360400,yes,no,cellular,13,may,1.6,1,-1,0,unknown,no
28,management,single,tertiary,no,34100,yes,no,cellular,7,may,1.8,1,-1,0,unknown,no
54,technician,divorced,secondary,no,107800,yes,no,cellular,30,apr,4.8,1,86,5,success,yes
29,management,married,tertiary,no,1500,no,no,cellular,30,apr,2.8,1,-1,0,unknown,no
58,retired,divorced,secondary,no,-18500,no,no,cellular,17,nov,24.7,1,-1,0,unknown,no
33,management,married,tertiary,no,6500,no,no,cellular,25,aug,2.5,8,-1,0,unknown,no
36,services,married,secondary,no,236050,no,no,cellular,9,dec,3.0,3,-1,0,unknown,yes
40,blue-collar,married,secondary,no,0,yes,no,unknown,30,may,6.8,3,-1,0,unknown,no
31,self-employed,single,tertiary,no,423000,no,no,cellular,20,nov,1.6,1,-1,0,unknown,no
34,management,single,tertiary,no,19100,no,no,cellular,3,nov,3.7,1,-1,0,unknown,no
38,entrepreneur,married,secondary,no,400,no,no,unknown,12,jun,6.2,3,-1,0,unknown,no
36,technician,married,secondary,no,230650,no,no,cellular,2,apr,5.8,1,134,2,failure,no
60,technician,divorced,secondary,no,0,no,no,unknown,6,jun,2.3,1,-1,0,unknown,no
35,management,single,tertiary,no,49600,no,yes,cellular,1,sep,4.5,1,-1,0,unknown,yes
28,admin.,single,secondary,no,100,yes,no,cellular,24,jul,8.1,1,-1,0,unknown,yes
54,management,married,secondary,no,56700,yes,no,cellular,25,jul,22.7,3,-1,0,unknown,yes
30,student,single,secondary,no,1250,no,no,telephone,30,apr,1.2,1,-1,0,unknown,no
